datetime,hour,day_of_week,is_weekend,peak_period,temp_c,rh_pct,rain_mm,sunshine_sec,shortwave_wm2,wind_speed_ms,temp_bin,spike_flag,compound_highTemp_lowSolar_peakHour,RRP_lag_1h,RRP_lag_12h,RRP_lag_24h,TOTALDEMAND_lag_1h,TOTALDEMAND_lag_12h,TOTALDEMAND_lag_24h,RRP_rolling_3h,RRP_rolling_6h,RRP_rolling_24h,TOTALDEMAND_rolling_3h,TOTALDEMAND_rolling_6h,TOTALDEMAND_rolling_24h,region,forecast_price,forecast_demand
2025-09-11 00:30:00+00:00,0,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,61.105452013168644,7526.598527513398
2025-09-11 01:00:00+00:00,1,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.91643179399439,5005.8157809260965
2025-09-11 01:30:00+00:00,1,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,67.7389483493699,4709.404035825394
2025-09-11 02:00:00+00:00,2,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,63.16890784789428,4884.537985909475
2025-09-11 02:30:00+00:00,2,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,57.81579500077568,4183.114203673286
2025-09-11 03:00:00+00:00,3,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,70.82138489013937,4940.067980695563
2025-09-11 03:30:00+00:00,3,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,73.49984133099034,5335.004039425768
2025-09-11 04:00:00+00:00,4,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,70.8428905455459,5355.787841763008
2025-09-11 04:30:00+00:00,4,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,73.55582216444576,4607.792252233081
2025-09-11 05:00:00+00:00,5,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,72.46963985138797,4251.112421565196
2025-09-11 05:30:00+00:00,5,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,56.131852463012564,5616.661818280667
2025-09-11 06:00:00+00:00,6,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,72.54291015549508,8174.703966332068
2025-09-11 06:30:00+00:00,6,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,74.63119878966678,7010.440605524168
2025-09-11 07:00:00+00:00,7,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,217.9041591542239,10135.340454961692
2025-09-11 07:30:00+00:00,7,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,276.98838224872355,10131.274140075457
2025-09-11 08:00:00+00:00,8,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,157.50448732295973,10639.32230534117
2025-09-11 08:30:00+00:00,8,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,169.94779400970626,9837.070748401893
2025-09-11 09:00:00+00:00,9,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,149.12990229315756,10759.188708807944
2025-09-11 09:30:00+00:00,9,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,166.03715599194192,9860.607876722868
2025-09-11 10:00:00+00:00,10,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,53.639690001867315,7430.561267125779
2025-09-11 10:30:00+00:00,10,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,56.35513918294815,8520.864659985784
2025-09-11 11:00:00+00:00,11,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,69.06834124968766,7510.1184089519
2025-09-11 11:30:00+00:00,11,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,61.83111313331146,8372.194785281737
2025-09-11 12:00:00+00:00,12,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,62.555005332405976,7233.97588667424
2025-09-11 12:30:00+00:00,12,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,64.50634714472831,7730.559343568777
2025-09-11 13:00:00+00:00,13,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,63.69714754224711,7438.11950000378
2025-09-11 13:30:00+00:00,13,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,52.57429682819645,8072.811072854843
2025-09-11 14:00:00+00:00,14,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,71.70166092592787,7647.395451300268
2025-09-11 14:30:00+00:00,14,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,72.81821051320142,7623.202145262675
2025-09-11 15:00:00+00:00,15,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,74.48421693681762,7797.977878978341
2025-09-11 15:30:00+00:00,15,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,47.95287301042476,7660.359605428235
2025-09-11 16:00:00+00:00,16,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,62.71899070820295,8122.298710191323
2025-09-11 16:30:00+00:00,16,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,64.32418368665016,7890.488208029654
2025-09-11 17:00:00+00:00,17,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,159.7622447742134,10017.8820611425
